symbol,ENSG_base,log2FC_P1,padj_P1,log2FC_P2,padj_P2,mean_log2FC,min_padj
IBSP,ENSG00000029559,7.834794948,1.5599999999999999e-43,8.187628681,1.89e-5,8.011,1.5599999999999999e-43
CST1,ENSG00000170373,7.612882052,3.94e-25,7.308818038,3.08e-32,7.461,3.08e-32
DSCAM-AS1,ENSG00000235123,8.931939102,2.16e-25,5.771624578,0.002352524,7.352,2.16e-25
COL10A1,ENSG00000123500,8.123728954,4.3599999999999995e-133,6.334036539,1.9699999999999998e-23,7.229,4.3599999999999995e-133
COL11A1,ENSG00000060718,7.12241505,7.16e-89,6.881435381,3.93e-39,7.002,7.16e-89
MMP1,ENSG00000196611,5.829517941,4.61e-31,7.918813199,5.6e-17,6.874,4.61e-31
EPYC,ENSG00000083782,7.673388144,4.59e-45,5.217069658,3.68e-8,6.445,4.59e-45
FOXD3-AS1,ENSG00000230798,3.970715174,1.68e-14,8.898214756,3.09e-8,6.434,1.68e-14
MMP11,ENSG00000099953,6.794439156,5.23e-125,5.434316253,3.7200000000000003e-85,6.114,5.23e-125
IGFL3,ENSG00000188624,6.211549416,1.36e-19,5.951047599,0.008310566,6.081,1.36e-19
GAL3ST2,ENSG00000154252,5.942958129,5.99e-23,5.514149857,0.034977712,5.729,5.99e-23
HAPLN1,ENSG00000145681,6.397801504,9.95e-22,5.047849275,3.7554e-4,5.723,9.95e-22
LINC01614,ENSG00000230838,6.398322639,2.57e-62,4.890596324,1.71e-19,5.644,2.57e-62
MMP13,ENSG00000137745,7.312682274,7.319999999999999e-46,3.765867587,7.89105e-4,5.539,7.319999999999999e-46
LINC00466,ENSG00000224209,3.897257481,2.97e-16,6.990199019,0.002053627,5.444,2.97e-16
PRAME,ENSG00000185686,3.84164174,1.24e-7,6.867423428,9.37625e-4,5.355,1.24e-7
WT1,ENSG00000184937,5.213023596,1.01e-19,5.465112409,3.77e-9,5.339,1.01e-19
GJB2,ENSG00000165474,4.765036851,6.34e-41,5.71932183,1.2599999999999999e-42,5.242,1.2599999999999999e-42
LINC01561,ENSG00000177234,4.98943382,1.52e-22,5.47391038,0.015323459,5.232,1.52e-22
SLC24A2,ENSG00000155886,5.624587711,7.379999999999999e-42,4.780474737,3.86e-12,5.203,7.379999999999999e-42
COMP,ENSG00000105664,5.367842315,6.9199999999999995e-37,4.76878216,1.5e-18,5.068,6.9199999999999995e-37
CBLN2,ENSG00000141668,5.303014958,2.54e-9,4.699302873,8.09e-5,5.001,2.54e-9
CEACAM6,ENSG00000086548,5.41418003,2.5699999999999997e-24,4.555137779,0.035691224,4.985,2.5699999999999997e-24
COL20A1,ENSG00000101203,4.770081008,4.98e-5,5.195449486,0.016284629,4.983,4.98e-5
HOXC12,ENSG00000123407,4.238229978,2.57e-13,5.713670007,0.039167918,4.976,2.57e-13
CHRNA6,ENSG00000147434,3.825693654,1.71e-15,6.024206992,1.5e-6,4.925,1.71e-15
LRRC15,ENSG00000172061,4.1162061660000004,5.419999999999999e-31,5.345173117,7.24e-18,4.731,5.419999999999999e-31
PLPP4,ENSG00000203805,4.894173516,1.8000000000000002e-29,4.439816481,3.0285e-4,4.667,1.8000000000000002e-29
S100P,ENSG00000163993,4.862585815,1.36e-22,4.456945451,0.014412568,4.66,1.36e-22
WT1-AS,ENSG00000183242,5.205545738,1.85e-14,4.007717005,0.009973515,4.607,1.85e-14
LINC02620,ENSG00000225768,4.517980749,1.49e-16,4.69025702,0.043484016,4.604,1.49e-16
CALCA,ENSG00000110680,2.764766398,0.021607958,6.277825059,0.041155764,4.521,0.021607958
MND1,ENSG00000121211,1.507526171,0.005978695,7.506925356,2.31e-6,4.507,2.31e-6
CXCL11,ENSG00000169248,3.767895587,4.5500000000000006e-21,5.175297802,1.3599999999999999e-34,4.472,1.3599999999999999e-34
MNX1,ENSG00000130675,3.44741844,2.09e-16,5.412538565,6.14968e-4,4.43,2.09e-16
MSLN,ENSG00000102854,4.927112647,5.45e-6,3.886175924,0.03953704,4.407,5.45e-6
TYRP1,ENSG00000107165,2.587188273,1.39e-5,6.18224853,3.71e-5,4.385,1.39e-5
CDC6,ENSG00000094804,4.232784101,1.12e-25,4.251470346,1.68e-5,4.242,1.12e-25
CCL11,ENSG00000172156,4.662640794,1.7999999999999998e-30,3.720515975,3.95788e-4,4.192,1.7999999999999998e-30
MIR3150BHG,ENSG00000245080,2.967937721,9.91e-13,5.411941058,0.001768208,4.19,9.91e-13
CST2,ENSG00000170369,4.592358804,4.67e-22,3.771088388,0.011328915,4.182,4.67e-22
LGALS17A,ENSG00000226025,3.386220743,7.28e-9,4.91363042,5.33467e-4,4.15,7.28e-9
IGFL2,ENSG00000204866,4.801040823,2.54e-16,3.49053806,0.00766061,4.146,2.54e-16
SLC5A8,ENSG00000256870,1.512063896,0.013842764,6.741632273,0.037136608,4.127,0.013842764
ZBED2,ENSG00000177494,2.158130842,3.69e-6,5.914457929,1.20203e-4,4.036,3.69e-6
DLX5,ENSG00000105880,3.319091173,7.96e-16,4.724709527,6.37073e-4,4.022,7.96e-16
LINC01929,ENSG00000267013,4.095635003,3.1600000000000003e-21,3.917699929,1.33663e-4,4.007,3.1600000000000003e-21
LINC00922,ENSG00000261742,5.133862274,2.9099999999999998e-30,2.870066591,0.00260463,4.002,2.9099999999999998e-30
LINC01615,ENSG00000223485,1.791886358,3.41e-11,6.181052512,2.9933e-4,3.986,3.41e-11
NKX2-5,ENSG00000183072,2.824547097,6.24762e-4,5.123789091,0.031935193,3.974,6.24762e-4
HOXC11,ENSG00000123388,3.675669376,3.34e-17,4.26392005,7.43e-8,3.97,3.34e-17
NKX3-2,ENSG00000109705,3.202400472,1.17e-17,4.672269161,4.3e-5,3.937,1.17e-17
LINC00898,ENSG00000205634,2.837994239,5.65e-5,5.006946715,0.021701131,3.922,5.65e-5
MAB21L4,ENSG00000172478,4.108510204,1.31e-13,3.721554317,0.031873017,3.915,1.31e-13
CLEC5A,ENSG00000258227,2.650969962,2.2e-19,5.173194633,9.7e-9,3.912,2.2e-19
DQX1,ENSG00000144045,4.580716709,4.0799999999999996e-23,3.206258428,0.037055539,3.893,4.0799999999999996e-23
CXCL10,ENSG00000169245,3.203098906,2.81e-17,4.561936083,4.84e-35,3.883,4.84e-35
INHBA,ENSG00000122641,3.675472305,1.97e-36,4.020015862,1.43e-12,3.848,1.97e-36
H2AC13,ENSG00000196747,5.028991258,1.06e-17,2.665932796,1.54855e-4,3.847,1.06e-17
PITX1,ENSG00000069011,3.071029001,8.41e-12,4.611131485,2.15e-16,3.841,2.15e-16
KIF4A,ENSG00000090889,3.813051344,6.2e-47,3.817919594,3.8e-8,3.815,6.2e-47
CXCL9,ENSG00000138755,2.606233572,3.85e-9,4.99728778,5.34e-13,3.802,5.34e-13
MYBL2,ENSG00000101057,3.518831473,2.68e-23,3.988690491,2.66e-13,3.754,2.68e-23
NEK2,ENSG00000117650,4.498950726,3.28e-54,2.986770589,8.47e-7,3.743,3.28e-54
GUCY1B2,ENSG00000123201,2.424343446,3.59e-7,5.006703906,3.35673e-4,3.716,3.59e-7
PAX1,ENSG00000125813,3.921688709,4.12e-13,3.486803792,0.017681356,3.704,4.12e-13
CCN4,ENSG00000104415,3.533712025,2.31e-34,3.862379489,4.21e-21,3.698,2.31e-34
CCR8,ENSG00000179934,2.359198193,6e-6,5.030718605,1.06e-7,3.695,1.06e-7
H3C12,ENSG00000197153,4.340289542,5.03e-15,3.003904883,5.14738e-4,3.672,5.03e-15
TOP2A,ENSG00000131747,3.8204846,8.68e-30,3.51387187,1.95e-7,3.667,8.68e-30
SERPINB7,ENSG00000166396,1.436563085,0.006169054,5.894867252,3.60823e-4,3.666,3.60823e-4
CKAP2L,ENSG00000169607,3.39798669,1.68e-33,3.902952522,1.55e-12,3.65,1.68e-33
UBE2C,ENSG00000175063,4.132264761,1.45e-39,3.154207048,5.43e-5,3.643,1.45e-39
LINC01956,ENSG00000258910,1.894656568,9.2402e-4,5.390737932,0.002807692,3.643,9.2402e-4
FN1,ENSG00000115414,3.611382769,4.2e-26,3.666920535,7.82e-14,3.639,4.2e-26
ADAMTS20,ENSG00000173157,3.046125454,4.42e-5,4.197349876,0.022760821,3.622,4.42e-5
ESM1,ENSG00000164283,3.928298525,7.829999999999999e-31,3.288439867,0.002792013,3.608,7.829999999999999e-31
MELK,ENSG00000165304,3.483754657,3.87e-33,3.714814497,2.57e-10,3.599,3.87e-33
ONECUT2,ENSG00000119547,3.598788532,1.36e-18,3.571900451,0.013610317,3.585,1.36e-18
H2BC17,ENSG00000274641,3.968217,1.02e-14,3.1968197,9.72e-6,3.583,1.02e-14
ANLN,ENSG00000011426,3.476956311,1.52e-33,3.683142198,1.82e-7,3.58,1.52e-33
SDS,ENSG00000135094,2.147923547,6.96e-9,4.998668831,4.33e-10,3.573,4.33e-10
TUBB3,ENSG00000258947,3.165747749,1.4e-12,3.969699334,1.16e-12,3.568,1.16e-12
ULBP1,ENSG00000111981,2.956540853,6.4e-12,4.176531859,0.002559364,3.567,6.4e-12
EXO1,ENSG00000174371,3.444651242,4.6e-28,3.627528305,5.94e-12,3.536,4.6e-28
CILP2,ENSG00000160161,3.659746961,1.4099999999999999e-40,3.386665571,7.01e-11,3.523,1.4099999999999999e-40
IL21,ENSG00000138684,1.245795645,1.21e-10,5.790427873,0.027067509,3.518,1.21e-10
HSD17B6,ENSG00000025423,3.323925662,6.009999999999999e-37,3.696468222,7.36e-6,3.51,6.009999999999999e-37
H3C10,ENSG00000278828,4.71680724,1.1099999999999999e-23,2.3014217280000002,1.99e-5,3.509,1.1099999999999999e-23
TBX20,ENSG00000164532,3.075991979,7.26e-5,3.901222311,0.03924658,3.489,7.26e-5
LINC01592,ENSG00000253658,1.313308976,0.016081586,5.651077906,0.042398964,3.482,0.016081586
NUF2,ENSG00000143228,3.858213378,2.3e-47,3.104546545,3.31e-13,3.481,2.3e-47
UHRF1,ENSG00000276043,3.308930106,2.61e-29,3.645271882,6.27e-10,3.477,2.61e-29
CEMIP,ENSG00000103888,3.020255635,1.1399999999999999e-24,3.927642125,4.58e-8,3.474,1.1399999999999999e-24
